species,set,number,year,rarity,cause,alt_asset_id,detail
Lilligant,Black & White,10/114,2011,Rare,alt_xyz_year_differs,88ac755e-c2b1-4688-8392-7cf0f37a4e33,alt.xyz years 2021 | 2021 Pokemon Sword and Shield Evolving Skies Reverse Holo Li
Swanna,Black & White,37/114,2011,Rare,alt_xyz_year_differs,5f3f1e15-fc4a-49f0-945d-d0a4468d0a07,alt.xyz years 2016 | 2016 Pokemon XY Breakpoint Swanna #37
Jellicent,Boundaries Crossed,45/149,2012,Rare,alt_xyz_year_differs,f04eb7cf-c1b4-4e32-903d-bf83a0e6d904,alt.xyz years 2025 | 2025 Pokemon White Flare Holo Jellicent Ex #045
Leavanny,Emerging Powers,7/98,2011,Rare,alt_xyz_year_differs,4acce619-c367-4dcc-a23e-6150fbc89fcb,alt.xyz years 2014 | 2014 Pokemon XY Phantom Forces Leavanny #7; 2014 Pokemon XY Phantom Forces Reverse Holo Leavanny #7
Sawsbuck,Emerging Powers,16/98,2011,Rare,alt_xyz_year_differs,d141ae7a-af45-485b-8b9b-2dbfa793358b,alt.xyz years 2019 | 2019 Pokemon Sun and Moon Cosmic Eclipse Holo Sawsbuck #16
Swoobat,Emerging Powers,37/98,2011,Rare,alt_xyz_year_differs,ac0fba89-b25d-45cd-9ba0-8c5edcd3f84e,alt.xyz years 2025 | 2025 Pokemon TCG Scarlet & Violet White Flare Swoobat Poke B; 2025 White Flare - Wht En - English Reverse Holo Swoobat #03
Wigglytuff,Great Encounters,32/106,2008,Rare,alt_xyz_year_differs,fc3befea-f25b-4ab7-96f6-7b0aaf2fd6cf,alt.xyz years 1999 | 1999 Pokemon Jungle 1st Edition Wigglytuff #32; 1999 Pokemon Jungle Wigglytuff #32
Sandslash,HeartGold & SoulSilver,29/123,2010,Rare,alt_xyz_year_differs,bc4cee76-2e19-4a78-b290-3411b5aaf7a1,alt.xyz years 2018 | 2018 Ultra Pokemon Sun and Moon Prism Alolan Sandslash #29; 2018 Ultra Pokemon Sun and Moon Prism Reverse Foil Alolan Sa
Tyrogue,HeartGold & SoulSilver,33/123,2010,Rare,alt_xyz_year_differs,a9f1b909-802e-433f-8ab0-449b23065c04,alt.xyz years 2005 | 2005 Pokemon Ex Unseen Forces Reverse Holo Tyrogue #33; 2005 Pokemon Ex Unseen Forces Holo Tyrogue #33
Unown,Majestic Dawn,33/100,2008,Rare,alt_xyz_year_differs,69202dfa-b12a-475b-ac75-52b823a3be01,alt.xyz years 2001 | 2001 Neo Discovery - 1st Edition English Unown A #33; 2001 Pokemon Neo Discovery Holo Unown A #33
Walrein,Mysterious Treasures,39/123,2007,Rare,alt_xyz_year_differs,90195acc-3a0c-4cd6-a648-f606a26db0e0,alt.xyz years 2021 | 2021 Pokemon Sword and Shield Chilling Reign Walrein #39; 2021 Pokemon Sword and Shield Chilling Reign Reverse Holo Wa
Pinsir,Next Destinies,1/99,2012,Rare,alt_xyz_year_differs,72bc001f-afaa-467e-85bb-ab5c11fd5712,"alt.xyz years 2021,2025 | 2021 Pokemon Sword and Shield Evolving Skies Reverse Holo Pi; 2025 Pokemon TCG Scarlet & Violet Destined Rivals Ethan's Pi"
Simisage,Next Destinies,7/99,2012,Rare,alt_xyz_year_differs,ba36ec32-f841-4862-96fa-08b0bb94587e,alt.xyz years 2020 | 2020 Pokemon Sword and Shield Darkness Ablaze Reverse Holo S
Lilligant,Noble Victories,5/101,2011,Rare,alt_xyz_year_differs,963fe7b0-6b6c-4f6d-9e65-c7464539c396,alt.xyz years 2017 | 2017 Pokemon Sun and Moon Guardians Rising Reverse Holo Lill; 2017 Pokemon Sun and Moon Guardians Rising Lilligant #5
Vanilluxe,Noble Victories,29/101,2011,Rare,alt_xyz_year_differs,460a15d7-979a-4177-ad56-6a4e44de4899,"alt.xyz years 2013,2025 | 2025 White Flare - Wht En - English Master Ball Reverse Holo; 2025 White Flare - Wht En - English Poké Ball Reverse Holo V"
Volcarona,Noble Victories,21/101,2011,Rare,alt_xyz_year_differs,7658e735-da9d-4ced-a7c4-4fd4a637420a,alt.xyz years 2021 | 2021 Pokemon Sword and Shield Evolving Skies Volcarona V #02
Ho-Oh,POP Series 5,1/17,2007,Rare,alt_xyz_year_differs,7d34a9fd-4eb1-4203-8f78-ead3442aacaa,alt.xyz years 2021 | 2021 Pokemon Celebrations Ho-Oh #001
Manaphy,POP Series 6,3/17,2007,Rare,alt_xyz_year_differs,5443bdb0-abd4-43c1-862a-ec77e28d9839,alt.xyz years 2010 | 2010 Pokemon Heartgold & Soulsilver Unleashed Manaphy #3; 2010 Pokemon Hs Unleashed Reverse Holo Manaphy #3
Volcarona,Plasma Blast,13/101,2013,Rare,alt_xyz_year_differs,c3a9c24e-77aa-45e5-b852-a2bf3603505b,alt.xyz years 2017 | 2017 Pokemon Sun and Moon Shining Legends Reverse Holo Volca; 2017 Pokemon Sun and Moon Shining Legends Volcarona #13
Golduck,Platinum,29/127,2009,Rare,alt_xyz_year_differs,777f84ec-702e-4b38-86a5-a02257356e0d,"alt.xyz years 2017,2022 | 2017 Pokemon Sun and Moon Reverse Holo Golduck #29; 2017 Pokemon Sun and Moon Golduck #29"
Nidoking,Secret Wonders,34/132,2007,Rare,alt_xyz_year_differs,9e7df6f2-0840-4de6-8dbd-94cb601cac68,"alt.xyz years 1995,1996,1997,1999,2000,2023 | 2000 Topps Chrome Pokemon Tv Nidoking #34; 1997 Pokemon Bandai Carddass Part 3 and 4 Nidoking #34"
Camerupt,Supreme Victors,19/147,2009,Rare,alt_xyz_year_differs,75beaefb-31d5-40d1-85cb-9c0671c798e8,alt.xyz years 2004 | 2004 Pokemon Ex Team Magma Vs. Team Aqua Holo Team Magma's C; 2004 Pokemon Ex Team Magma Vs Team Aqua Team Magma's Camerup
Dugtrio,Triumphant,19/102,2010,Rare,alt_xyz_year_differs,40023fb5-4dee-4076-9f73-c0dfc1902f58,alt.xyz years 1999 | 1999 Base Set - Unlimited English Dugtrio #19; 1999 Pokemon Base Set 1st Edition Dugtrio #19
Kyurem,BW Black Star Promos,BW44,2011-2013,Promo,in_feed_matcher_miss,98070b2d-29bd-49be-8e1f-5e966c14a611,"2011 Pokemon Black and White Black Star Promos Kyurem/(Kyure (subject=Kyurem/(Kyurem Box) P, year=2011, num=BW44)"
White Kyurem,BW Black Star Promos,BW63,2011-2013,Promo,in_feed_matcher_miss,7fd35508-1248-4346-9767-09ebc3197380,"2011 Pokemon Black and White Black Star Promos White Kyurem- (subject=White Kyurem-Ex/(Ex Power Tins) P, year=2011, num=BW63) | 2011 Pokemon Black and White Promos White Kyurem-Ex/ (Ex Pow (subject=White Kyurem-Ex/ (Ex Power Tins), year=2011, num=BW63)"
Zekrom,BW Black Star Promos,BW24,2011-2013,Promo,in_feed_matcher_miss,cc001be3-e8e6-4b25-91ff-92db666f4447,"2011 Pokemon Black and White Black Star Promos Zekrom/(Zekro (subject=Zekrom/(Zekrom Box) P, year=2011, num=BW24)"
Darkrai,Diamond & Pearl Black Star Promos,DP24,2007-2009,Promo,in_feed_matcher_miss,f8429d68-4bfa-457c-a797-9af23bbaa029,"2007 Pokemon Diamond and Pearl Black Star Promos Darkrai?(Ho (subject=Darkrai?(Holo)/(Darkrai Premium Box) P, year=2007, num=DP24)"
Lucario,Diamond & Pearl Black Star Promos,DP12,2007-2009,Promo,in_feed_matcher_miss,53fc8247-4acb-410a-89fa-0b5caf6b00b2,"2007 Pokemon Diamond and Pearl Black Star Promo Collector's  (subject=Lucario Lv X, year=2007, num=DP12) | 2008 Pokemon Dp Promos Lucario Lvx Holo R #DP12 (subject=Lucario Lvx Holo R, year=2008, num=DP12)"
Latias,HeartGold & SoulSilver Black Star Promos,HGSS10,2010-2011,Promo,in_feed_matcher_miss,aadd11ae-284e-4596-852b-409284133e7a,"2010 Star Pokemon Hs Black Promos Latias Cracked Ice Holo P  (subject=Latias Cracked Ice Holo P, year=2010, num=HGSS10)"
Latios,HeartGold & SoulSilver Black Star Promos,HGSS11,2010-2011,Promo,in_feed_matcher_miss,3172424b-cff6-48da-8099-4cee699997b0,"2010 Star Pokemon Hs Black Promos Latios Cracked Ice Holo P  (subject=Latios Cracked Ice Holo P, year=2010, num=HGSS11)"
Venusaur,POP Series 2,6/17,2005,Rare,in_feed_matcher_miss,0087c815-be87-43b8-8a0a-8b16496d2af2,"2005 Organized Play Series 2 Venusaur #6 (subject=Venusaur, year=2005, num=6)"
Mew,POP Series 5,3/17,2007,Rare,in_feed_matcher_miss,b6a9d352-2e12-4c1c-b796-ad40ab76c10c,"2007 Organized Play Series 5 Mew #3 (subject=Mew, year=2007, num=3) | 2007 Pokemon Organized Play Series 5 Mew Holo R #3 (subject=Mew Holo R, year=2007, num=3)"
Latios,POP Series 7,4/17,2008,Rare,in_feed_matcher_miss,9e864ab1-fcfd-49ab-b95c-76e9f20eff80,"2008 Pokemon Organized Play Series 7 Latios #4 (subject=Latios, year=2008, num=4)"
Machamp,Plasma Blast,50/101,2013,Rare,in_feed_matcher_miss,563a5592-958c-4cf8-b44a-708c5e1f38e6,"2013 Pokemon Black and White Plasma Blast Machamp #50 (subject=Machamp, year=2013, num=50)"
Dialga,Platinum,23/127,2009,Rare,in_feed_matcher_miss,e9db1a26-ed22-455e-9237-4f5c18dee88c,"2009 Pokemon Platinum Reverse Holo Dialga #23 (subject=Dialga, year=2009, num=23)"
Excadrill,Dark Explorers,56/108,2012,Rare,in_feed_year_off_by_1,61ee030b-8f4e-401d-a014-8b189c44a5a5,"2011 Pokemon Black and White Emerging Powers Holo Excadrill  (subject=Excadrill, year=2011, num=56)"
Excadrill,Dark Explorers,57/108,2012,Rare,in_feed_year_off_by_1,452d57a1-777b-4256-b5ec-a9ab27c54d50,"2011 Pokemon Black and White Emerging Powers Reverse Holo Ex (subject=Excadrill, year=2011, num=57)"
Deoxys,POP Series 4,2/17,2006,Rare,in_feed_year_off_by_1,f1ec5526-2245-46d0-bbe3-ca4f820b42f1,"2005 Pokemon Ex Emerald Holo Deoxys #2 (subject=Deoxys, year=2005, num=2) | 2005 Pokemon Ex Emerald Reverse Holo Deoxys #2 (subject=Deoxys, year=2005, num=2)"
Articuno,Plasma Storm,132/135,2013,Rare Ultra,in_feed_year_off_by_1,a3fae9a6-079e-412b-a979-e60732f6e8f3,"2012 Pokemon Black and White Plasma Storm Holo Articuno Ex # (subject=Articuno Ex, year=2012, num=132)"
Charizard,Plasma Storm,136/135,2013,Rare Secret,in_feed_year_off_by_1,1c9c6516-05ed-4288-a402-be178d974e56,"2012 Pokemon Black and White Plasma Storm Charizard #136 (subject=Charizard, year=2012, num=136)"
Genesect,BW Black Star Promos,BW86,2011-2013,Promo,no_psa10_ever,e64cb381-1f1b-4114-bb26-108d034a583f,alt.xyz graded pop (all companies) 2
Genesect,BW Black Star Promos,BW101,2011-2013,Promo,no_psa10_ever,cbaa11ec-3a42-4880-842d-bbfadc91545f,alt.xyz graded pop (all companies) 63
Haxorus,BW Black Star Promos,BW57,2011-2013,Promo,no_psa10_ever,99716978-c211-4dc4-bb0b-8263ed216839,alt.xyz graded pop (all companies) 41
Landorus,BW Black Star Promos,BW43,2011-2013,Promo,no_psa10_ever,3b14087c-e511-4ff0-8d65-3d7bd0b2b322,"alt.xyz graded pop (all companies) 212,1"
Landorus,BW Black Star Promos,BW79,2011-2013,Promo,no_psa10_ever,5e69abb1-e4b0-4351-ad66-e3eda1993ae2,alt.xyz graded pop (all companies) 48
Lillipup,BW Black Star Promos,BW52,2011-2013,Promo,no_psa10_ever,54fa62bc-b7c4-467f-8c1b-ab87aa5c0c5f,alt.xyz graded pop (all companies) 6
Lucario,BW Black Star Promos,BW85,2011-2013,Promo,no_psa10_ever,c6df008a-b851-4c29-ad2a-f2e25c90c310,alt.xyz graded pop (all companies) 79
Meowth,BW Black Star Promos,BW35,2011-2013,Promo,no_psa10_ever,9b0592c4-de0c-4bbe-8c21-ac3b7a31f619,alt.xyz graded pop (all companies) 1
Mew,BW Black Star Promos,BW98,2011-2013,Promo,no_psa10_ever,e7bba165-753a-423e-b1e6-f09d676cf1dd,alt.xyz graded pop (all companies) 230
Ninetales,BW Black Star Promos,BW66,2011-2013,Promo,no_psa10_ever,69e1f237-f71c-45c4-8448-23add943e5f7,alt.xyz graded pop (all companies) 27
Hitmonchan,Best of Promos,2,2002-2003,Promo,no_psa10_ever,decac264-d86f-43df-924c-e79469f45ce3,alt.xyz graded pop (all companies) 19
Alomomola,Black & White,39/114,2011,Rare,no_psa10_ever,e00297bf-f647-43a9-829d-deca836c4f6e,"alt.xyz graded pop (all companies) 9,9"
Bouffalant,Black & White,91/114,2011,Rare,no_psa10_ever,2e2f1185-9829-4209-adbe-0a3fcd8bbb4b,alt.xyz graded pop (all companies) 11
Cinccino,Black & White,89/114,2011,Rare,no_psa10_ever,a2027a4a-70fc-4a41-bba0-be2572091f83,alt.xyz graded pop (all companies) 13
Darmanitan,Black & White,25/114,2011,Rare,no_psa10_ever,efeae8a4-d361-48bf-b8ee-cb095092031e,"alt.xyz graded pop (all companies) 16,15,1"
Galvantula,Black & White,46/114,2011,Rare,no_psa10_ever,2008afb8-431b-4bc4-8b0d-b2f6af9a3ed3,alt.xyz graded pop (all companies) 7
Mandibuzz,Black & White,73/114,2011,Rare,no_psa10_ever,c5d49d81-818b-4212-85b3-ddd41646ca8f,"alt.xyz graded pop (all companies) 14,4"
Musharna,Black & White,49/114,2011,Rare,no_psa10_ever,ac729a7a-86f9-45c5-9217-79e86180150f,alt.xyz graded pop (all companies) 5
Sawk,Black & White,62/114,2011,Rare,no_psa10_ever,e656540a-2947-4501-87ba-fb6f32e80d68,"alt.xyz graded pop (all companies) 7,2"
Sawsbuck,Black & White,14/114,2011,Rare,no_psa10_ever,9f52938c-a3f6-4a82-a9ee-cf76cb00141d,"alt.xyz graded pop (all companies) 13,10"
Stoutland,Black & White,83/114,2011,Rare,no_psa10_ever,a2f3e8f3-3acc-4473-8e78-acde7ddc123d,"alt.xyz graded pop (all companies) 10,6"
Throh,Black & White,61/114,2011,Rare,no_psa10_ever,7eeafb5e-38bc-4334-b790-a78a4226e8f8,"alt.xyz graded pop (all companies) 7,6"
Unfezant,Black & White,86/114,2011,Rare,no_psa10_ever,73b28b67-6bd5-4ecf-b9ec-2e84a44bfaf7,"alt.xyz graded pop (all companies) 8,5"
Zebstrika,Black & White,43/114,2011,Rare,no_psa10_ever,123c372e-e64e-4914-84ec-74662d397059,alt.xyz graded pop (all companies) 6
Camerupt,Boundaries Crossed,22/149,2012,Rare,no_psa10_ever,c21f5dcb-2614-441e-8381-df86d423a454,alt.xyz graded pop (all companies) 20
Gliscor,Boundaries Crossed,81/149,2012,Rare Holo,no_psa10_ever,ef5796eb-3803-408c-9f23-72dedfe20adf,alt.xyz graded pop (all companies) 1
Golduck,Boundaries Crossed,35/149,2012,Rare,no_psa10_ever,1197d93a-29fd-4c1c-a40b-24958a4a8e25,alt.xyz graded pop (all companies) 1
Grumpig,Boundaries Crossed,60/149,2012,Rare,no_psa10_ever,84ffe16d-e9fa-4d12-ac62-05afee1a0882,alt.xyz graded pop (all companies) 2
Keldeo,Boundaries Crossed,47/149,2012,Rare Holo,no_psa10_ever,e9f42654-095f-476f-9b69-981379d8ca83,alt.xyz graded pop (all companies) 4
Keldeo,Boundaries Crossed,48/149,2012,Rare,no_psa10_ever,10d54210-4a1b-4ff7-bf00-d4eeff66a280,"alt.xyz graded pop (all companies) 10,6"
Lilligant,Boundaries Crossed,17/149,2012,Rare,no_psa10_ever,9e02576d-4e76-46dd-8ffd-4c150df28d6b,alt.xyz graded pop (all companies) 3
Musharna,Boundaries Crossed,69/149,2012,Rare,no_psa10_ever,ac4052e5-f75c-4b2a-991f-f16fcc0a1628,alt.xyz graded pop (all companies) 2
Shaymin,Boundaries Crossed,10/149,2012,Rare,no_psa10_ever,6183df7f-1508-41ab-b3fe-cd3b1f97f029,alt.xyz graded pop (all companies) 2
Victini,Boundaries Crossed,23/149,2012,Rare,no_psa10_ever,8d173c02-3807-4fcf-bca5-629cd45d6ae6,alt.xyz graded pop (all companies) 3
White Kyurem,Boundaries Crossed,102/149,2012,Rare,no_psa10_ever,0b625b16-d40c-42f6-9873-00ddec25b352,"alt.xyz graded pop (all companies) 63,10"
Granbull,Call of Legends,26/95,2011,Rare,no_psa10_ever,a8466268-6e0e-4eeb-a0ea-dd813de51d7e,"alt.xyz graded pop (all companies) 17,11"
Weezing,Call of Legends,38/95,2011,Rare,no_psa10_ever,57da48ce-789f-4c5d-ad3f-11249fb6c726,"alt.xyz graded pop (all companies) 7,4"
Zangoose,Call of Legends,39/95,2011,Rare,no_psa10_ever,5d489364-3fa7-43c8-8ca4-48c9b5411c98,"alt.xyz graded pop (all companies) 12,1"
Accelgor,Dark Explorers,11/108,2012,Rare,no_psa10_ever,60f96802-834c-4dbc-a76b-333ea1b258c1,alt.xyz graded pop (all companies) 1
Aerodactyl,Dark Explorers,53/108,2012,Rare,no_psa10_ever,f62ba932-31a1-44ef-a156-369c5f3fcfa9,alt.xyz graded pop (all companies) 4
Carnivine,Dark Explorers,5/108,2012,Rare,no_psa10_ever,dbe17e40-56c3-46f8-a96f-120c3fa92b03,alt.xyz graded pop (all companies) 1
Cofagrigus,Dark Explorers,52/108,2012,Rare,no_psa10_ever,3c5ed73c-2358-453d-9668-d621b03f7074,alt.xyz graded pop (all companies) 1
Haxorus,Dark Explorers,89/108,2012,Rare Holo,no_psa10_ever,82df48f1-96a2-46e4-8b88-65c8cc54b655,alt.xyz graded pop (all companies) 3
Scrafty,Dark Explorers,68/108,2012,Rare,no_psa10_ever,f3feae0f-6913-4d03-bba7-82c824f2762f,alt.xyz graded pop (all companies) 3
Stoutland,Dark Explorers,88/108,2012,Rare,no_psa10_ever,84d2abec-f346-497f-b1d9-ce69c8d9d6bb,alt.xyz graded pop (all companies) 4
Azumarill,Diamond & Pearl,18/130,2007,Rare,no_psa10_ever,74b53049-33e0-4b54-9ad9-f942550b245a,"alt.xyz graded pop (all companies) 51,40"
Beautifly,Diamond & Pearl,19/130,2007,Rare,no_psa10_ever,a87952f4-3de6-4f0d-95e3-dc795292f7d0,"alt.xyz graded pop (all companies) 31,30"
Bibarel,Diamond & Pearl,20/130,2007,Rare,no_psa10_ever,4ad76b4d-c17b-4de4-95c0-955b25d0e938,alt.xyz graded pop (all companies) 45
Carnivine,Diamond & Pearl,21/130,2007,Rare,no_psa10_ever,f2aa69f9-eace-45d1-b0aa-4ef29112af32,alt.xyz graded pop (all companies) 15
Drapion,Diamond & Pearl,23/130,2007,Rare,no_psa10_ever,4087cdba-948d-4987-8fc1-132d8b4131de,alt.xyz graded pop (all companies) 36
Drifblim,Diamond & Pearl,24/130,2007,Rare,no_psa10_ever,8d68b33a-fb0a-449d-9726-3eb9fbdf9ad0,alt.xyz graded pop (all companies) 51
Dustox,Diamond & Pearl,25/130,2007,Rare,no_psa10_ever,909acc50-2823-44d0-bc9f-553bc0f8f5d9,"alt.xyz graded pop (all companies) 33,4"
Heracross,Diamond & Pearl,28/130,2007,Rare,no_psa10_ever,ff82a2e4-cc73-4278-8ecd-9bf93de8fdea,alt.xyz graded pop (all companies) 53
Lopunny,Diamond & Pearl,30/130,2007,Rare,no_psa10_ever,ae25070c-8bd4-4186-b9ad-18b901dbe735,alt.xyz graded pop (all companies) 31
Machamp,Diamond & Pearl,31/130,2007,Rare,no_psa10_ever,946dabee-080c-455b-a811-1b8e4bae3dfd,"alt.xyz graded pop (all companies) 64,15"
