species,set,number,year,rarity,cause,alt_asset_id,detail
Honchkrow,Mysterious Treasures,10/123,2007,Rare Holo,no_psa10_ever,4a1ec56f-7635-4a57-9851-bdb43629060f,"alt.xyz graded pop (all companies) 26,3"
Kricketune,Mysterious Treasures,27/123,2007,Rare,no_psa10_ever,ddcbd259-fd44-44bd-8687-a079364e654e,alt.xyz graded pop (all companies) 40
Ursaring,Mysterious Treasures,38/123,2007,Rare,no_psa10_ever,0543aad0-d281-4475-8346-56d807b34fff,alt.xyz graded pop (all companies) 49
Whiscash,Mysterious Treasures,40/123,2007,Rare,no_psa10_ever,1da33233-9ed7-423c-ba84-bfe6f5157365,alt.xyz graded pop (all companies) 4
Darmanitan,Next Destinies,60/99,2012,Rare,no_psa10_ever,2c01c67d-3f47-4203-9ab6-80930c50e5f4,alt.xyz graded pop (all companies) 3
Lapras,Next Destinies,25/99,2012,Rare,no_psa10_ever,e1517886-4cbd-4c8b-8bbc-c49124f05e0f,alt.xyz graded pop (all companies) 24
Scrafty,Next Destinies,74/99,2012,Rare Holo,no_psa10_ever,265ce7f4-c19f-41eb-bb19-c9880801a18c,alt.xyz graded pop (all companies) 22
Archeops,Noble Victories,67/101,2011,Rare,no_psa10_ever,7348fb11-4fe7-4a9c-b2da-9e157cb26e95,alt.xyz graded pop (all companies) 2
Cofagrigus,Noble Victories,46/101,2011,Rare,no_psa10_ever,fd29bb02-ccbd-451c-ac01-48d7171de7b0,alt.xyz graded pop (all companies) 2
Gigalith,Noble Victories,61/101,2011,Rare,no_psa10_ever,c4ceb5ad-120d-4aba-95b1-d0066f913a40,alt.xyz graded pop (all companies) 1
Blastoise,POP Series 3,1/17,2006,Rare,no_psa10_ever,651efe62-55d9-4042-a89d-1e79adc0e4e7,alt.xyz graded pop (all companies) 396
Bastiodon,POP Series 6,1/17,2007,Rare,no_psa10_ever,32c7c7d5-0764-4a05-8063-4fe02209b053,alt.xyz graded pop (all companies) 222
Gallade,POP Series 7,2/17,2008,Rare,no_psa10_ever,dfec1a31-8cbf-40bd-8204-631c93990e5d,"alt.xyz graded pop (all companies) 2,1"
Heatran,POP Series 8,1/17,2008,Rare,no_psa10_ever,48d2309c-e368-408b-924c-924d2d4e9dcf,"alt.xyz graded pop (all companies) 41,2,1"
Accelgor,Plasma Blast,8/101,2013,Rare,no_psa10_ever,c59418e8-e738-4456-a6e4-6088efcfe244,"alt.xyz graded pop (all companies) 9,6"
Aggron,Plasma Blast,59/101,2013,Rare,no_psa10_ever,d28a532e-9d82-4195-8ecf-99ca04e67493,alt.xyz graded pop (all companies) 9
Azelf,Plasma Blast,38/101,2013,Rare,no_psa10_ever,a68ba57c-e94d-4931-a2c5-6f19613c4609,alt.xyz graded pop (all companies) 1
Carracosta,Plasma Blast,28/101,2013,Rare,no_psa10_ever,f2b75f74-6178-4f1c-93bd-b76918c8d2a1,alt.xyz graded pop (all companies) 3
Escavalier,Plasma Blast,61/101,2013,Rare,no_psa10_ever,620cca8c-6176-4b8c-ba46-824f3f5f7002,"alt.xyz graded pop (all companies) 15,7"
Masquerain,Plasma Blast,2/101,2013,Rare,no_psa10_ever,0ec78446-c3d9-4e1a-abdf-a36efb07c55a,alt.xyz graded pop (all companies) 22
Reuniclus,Plasma Blast,44/101,2013,Rare,no_psa10_ever,8ab323ad-17a7-4f13-a69a-8e7303b5dd52,alt.xyz graded pop (all companies) 3
Beedrill,Plasma Freeze,3/116,2013,Rare,no_psa10_ever,7ea99b6d-1a1e-4bff-9387-1bb2c1e76b5b,alt.xyz graded pop (all companies) 7
Bisharp,Plasma Freeze,73/116,2013,Rare,no_psa10_ever,ab117fe2-c88e-4a0b-b50f-7a20d5f3ba69,alt.xyz graded pop (all companies) 5
Cofagrigus,Plasma Freeze,57/116,2013,Rare,no_psa10_ever,8e94d139-bf7d-46ae-9d08-c1d00e65a2f4,alt.xyz graded pop (all companies) 10
Electrode,Plasma Freeze,33/116,2013,Rare Holo,no_psa10_ever,f42779bf-1edb-485c-9b11-73e6ef65da27,alt.xyz graded pop (all companies) 27
Exeggutor,Plasma Freeze,5/116,2013,Rare,no_psa10_ever,7470d0b3-ff9b-4fba-aa6c-29097309bdd8,alt.xyz graded pop (all companies) 3
Krookodile,Plasma Freeze,70/116,2013,Rare,no_psa10_ever,e34c4083-fd72-4cd1-952a-654d07e2b9af,alt.xyz graded pop (all companies) 9
Muk,Plasma Freeze,46/116,2013,Rare,no_psa10_ever,f6a4dfcb-b41e-43ea-b24d-4a36889e08b5,alt.xyz graded pop (all companies) 20
Nidoking,Plasma Freeze,58/116,2013,Rare,no_psa10_ever,1bbd62f9-5316-46d2-94ea-d9742a784357,alt.xyz graded pop (all companies) 8
Nidoqueen,Plasma Freeze,42/116,2013,Rare,no_psa10_ever,8f5104b6-5e30-4c19-a6db-14a1240e095c,alt.xyz graded pop (all companies) 8
Quagsire,Plasma Freeze,22/116,2013,Rare,no_psa10_ever,29b182e4-8b16-45a7-b579-72e2afcdd89e,alt.xyz graded pop (all companies) 3
Raticate,Plasma Freeze,88/116,2013,Rare,no_psa10_ever,f3665c28-79ba-475b-9bc9-5236dad583da,alt.xyz graded pop (all companies) 9
Sableye,Plasma Freeze,49/116,2013,Rare,no_psa10_ever,a9de4e5b-82e8-4e6b-bef0-af356807884b,alt.xyz graded pop (all companies) 10
Seismitoad,Plasma Freeze,26/116,2013,Rare,no_psa10_ever,1343247e-e743-4dce-a4ee-b9e53aaa9d08,"alt.xyz graded pop (all companies) 24,10"
Staraptor,Plasma Freeze,97/116,2013,Rare,no_psa10_ever,474987c7-bcb7-4ba2-808a-5c89e3e6ceb6,alt.xyz graded pop (all companies) 3
Vanilluxe,Plasma Freeze,29/116,2013,Rare,no_psa10_ever,0b5b6f1d-8f37-44d2-bb7c-0da64df71029,alt.xyz graded pop (all companies) 8
Weavile,Plasma Freeze,66/116,2013,Rare,no_psa10_ever,5eefd108-5bd1-4c75-827b-40af40ddcd70,alt.xyz graded pop (all companies) 7
Beartic,Plasma Storm,41/135,2013,Rare,no_psa10_ever,aa37b366-c52e-4fea-98c1-b5d8354f4b16,alt.xyz graded pop (all companies) 7
Bouffalant,Plasma Storm,114/135,2013,Rare,no_psa10_ever,b3fe9f00-a03b-41fb-bd89-9b23509d6dc9,"alt.xyz graded pop (all companies) 8,4"
Braviary,Plasma Storm,116/135,2013,Rare,no_psa10_ever,8ab83620-ecb9-4f14-a25b-452987276d65,alt.xyz graded pop (all companies) 11
Cherrim,Plasma Storm,7/135,2013,Rare,no_psa10_ever,4b590730-ca6c-41b4-9305-1c5e4def2cd7,alt.xyz graded pop (all companies) 5
Clefable,Plasma Storm,98/135,2013,Rare,no_psa10_ever,8c93192c-5b66-4d48-8218-b7fd1fb85c06,"alt.xyz graded pop (all companies) 8,6"
Dodrio,Plasma Storm,100/135,2013,Rare,no_psa10_ever,66258273-f9cc-4bfc-bb15-133212083bc7,"alt.xyz graded pop (all companies) 8,3"
Druddigon,Plasma Storm,94/135,2013,Rare,no_psa10_ever,68acb6a0-4017-4ae8-9cf4-0a7d213fa97e,"alt.xyz graded pop (all companies) 9,3"
